API,Well_Name,Well_Number,Operator_Number,Operator_Name,Daily_Report_Date_Start,Daily_Report_Date_End,Report_Date,Volume_BPD,Pressure_PSI,Latitude,Longitude,DirArea,Directive_Status
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-29,13586,395,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-31,12853,388,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-02,14193,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-03,15700,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-04,15314,115,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-09,12620,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-10,14911,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-11,14253,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-12,13664,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-14,12326,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-15,14313,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-16,5684,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-17,12022,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-18,13136,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-19,14735,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-20,14574,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-21,9423,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-22,12046,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-26,13113,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-27,14765,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-28,11588,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-29,13092,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-30,12584,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-12-03,14387,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-12-04,13892,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-12-05,13597,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-01,19366,155,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-03,12675,155,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-05,12994,155,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-06,15329,155,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-07,14647,240,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-08,16656,240,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-09,15697,240,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2014-03-10,15345,140,36.8403,-98.3611,OWRA,NOT IN GRANITE
